,OCCRR_DTM,RQRMN_TM,CTPRV_NM,SGNG_NM,EMNDN_NM,OCCCRR_RI,ARA_LTNMB,CUSE_NM,DMG_AREA,ADDRESS
146,1998-03-09,220.0,서울,노원,공릉,,산222-20,어린이불장난,0.16,서울 노원 공릉 산222-20
147,2009-04-12,16.0,서울,노원,공릉,,산53-6,인근주민불장난추정,0.6,서울 노원 공릉 산53-6
148,2000-03-24,120.0,서울,노원,중계본,,산131,담뱃불실화추정,0.15,서울 노원 중계본 산131
149,2001-11-19,100.0,서울,노원,중계,,산30-3,담뱃불실화추정,0.02,서울 노원 중계 산30-3
150,2002-04-28,132.0,서울,노원,중계본,,산104-3,담뱃불실화추정,0.2,서울 노원 중계본 산104-3
151,2003-05-18,28.0,서울,노원,중계본,,산104,담배불실화,0.03,서울 노원 중계본 산104
152,1996-04-11,35.0,서울,노원,상계,,산155-1,기타,0.5,서울 노원 상계 산155-1
153,2012-06-02,134.0,서울,노원,상계동,,51-1,방화추정,0.03,서울 노원 상계동 51-1
154,2012-06-03,545.0,서울,노원,상계동,,산44-2,방화추정,1.6,서울 노원 상계동 산44-2
155,1996-06-08,724.0,서울,노원,상계,,산56,성묘객실화,0.8,서울 노원 상계 산56
156,1997-02-13,34.0,서울,노원,상계,,산122-1,어린이불장난,0.25,서울 노원 상계 산122-1
157,1997-02-23,44.0,서울,노원,상계,,산152-1,입산자실화추정,0.3,서울 노원 상계 산152-1
158,1997-04-21,25.0,서울,노원,상계,,산154-2,낙엽소각,0.2,서울 노원 상계 산154-2
159,1997-04-21,50.0,서울,노원,상계,,산12-1,입산자실화추정,0.13,서울 노원 상계 산12-1
160,1998-02-18,100.0,서울,노원,상계,,산1-2,입산자실화,0.26,서울 노원 상계 산1-2
161,1998-03-08,44.0,서울,노원,상계,,산162-1,입산자실화,0.33,서울 노원 상계 산162-1
162,1998-03-10,25.0,서울,노원,상계,,산162-1,입산자실화,0.03,서울 노원 상계 산162-1
163,1998-03-14,20.0,서울,노원,상계,,산161-1,등산객실화추정,0.03,서울 노원 상계 산161-1
164,1998-06-01,49.0,서울,노원,상계,,산153-1,등산객실화추정,0.1,서울 노원 상계 산153-1
165,2001-03-18,21.0,서울,노원,상계,,산161-1,어린이불장난추정,0.01,서울 노원 상계 산161-1
166,2001-04-23,107.0,서울,노원,상계,,산173-3,담뱃불실화추정,0.11,서울 노원 상계 산173-3
167,2001-05-13,35.0,서울,노원,상계,,산152-1,담뱃불실화추정,0.02,서울 노원 상계 산152-1
168,2001-05-14,29.0,서울,노원,상계,,산152-1,담뱃불실화추정,0.01,서울 노원 상계 산152-1
169,2001-12-06,129.0,서울,노원,상계,,산118-1,공장화재,0.01,서울 노원 상계 산118-1
170,2002-03-04,102.0,서울,노원,상계,,산154-2,입산자실화추정,0.2,서울 노원 상계 산154-2
171,2003-12-14,30.0,서울,노원,상계1,,산44-1,입산자실화,0.02,서울 노원 상계1 산44-1
172,2005-01-23,731.0,서울,노원,상계,,산153-1,입산자실화추정,0.02,서울 노원 상계 산153-1
173,2005-05-05,219.0,서울,노원,상계,,산1-1,입산자실화추정,0.3,서울 노원 상계 산1-1
174,2008-04-16,109.0,서울,노원,상계,,산145-7,어린이불장난추정,0.04,서울 노원 상계 산145-7
175,2012-10-15,711.0,서울,노원,불암,,산37-8,원인미상,0.1,서울 노원 불암 산37-8
176,1995-05-09,122.0,서울,노원,월계,,산181-1,담배불실화추정,0.4,서울 노원 월계 산181-1
177,1994-04-25,133.0,서울,노원,중계,,산102-1,입산자실화추정,0.72,서울 노원 중계 산102-1
178,1993-10-15,156.0,서울,노원,중계,,산101-1,입산자실화추정,0.13,서울 노원 중계 산101-1
179,1993-10-15,45.0,서울,노원,중계,,산28,입산자실화추정,0.03,서울 노원 중계 산28
180,1995-12-06,54.0,서울,노원,중계,,산103-1,기타,0.12,서울 노원 중계 산103-1
181,1996-01-03,100.0,서울,노원,중계,,산112,입산자실화,1.0,서울 노원 중계 산112
182,1996-02-21,140.0,서울,노원,중계,,산101-17,어린이불장난,1.0,서울 노원 중계 산101-17
183,1996-02-23,50.0,서울,노원,중계,,산101-1,성묘객실화,1.0,서울 노원 중계 산101-1
184,1994-03-01,32.0,서울,노원,상계,,산107,어린이불장난,0.06,서울 노원 상계 산107
185,1989-02-22,50.0,서울,노원,상계,,산159-1,등산객실화추정,0.1,서울 노원 상계 산159-1
186,2007-04-09,213.0,서울,은평,진관내,,산51,입산자실화,0.08,서울 은평 진관내 산51
187,2007-01-28,18.0,서울,은평,수색,,산13-16,담뱃불실화추정,0.02,서울 은평 수색 산13-16
188,2001-04-03,12.0,서울,은평,녹번,,산1-1,어린이불장난,0.02,서울 은평 녹번 산1-1
189,2003-03-23,7.0,서울,은평,녹번,,산28-2,입산자실화추정,0.01,서울 은평 녹번 산28-2
190,2006-03-25,14.0,서울,은평,녹번,,산1-1,입산자실화,3.0,서울 은평 녹번 산1-1
191,1996-04-11,30.0,서울,은평,불광,,산42-1,입산자실화,3.3,서울 은평 불광 산42-1
192,1996-06-07,235.0,서울,은평,불광,,산42-1,기타,3.0,서울 은평 불광 산42-1
193,1998-12-21,149.0,서울,은평,불광,,산42-1,입산자실화추정,0.2,서울 은평 불광 산42-1
194,1999-03-27,136.0,서울,은평,불광,,산42-1,무속행위추정,0.07,서울 은평 불광 산42-1
195,2001-03-23,12.0,서울,은평,불광,,산54-5,어린이불장난,0.01,서울 은평 불광 산54-5
196,2001-04-04,15.0,서울,은평,불광,,산28-1,어린이불장난추정,0.01,서울 은평 불광 산28-1
197,2001-04-27,41.0,서울,은평,불광,,산42-1,담뱃불실화추정,0.13,서울 은평 불광 산42-1
198,2002-10-23,20.0,서울,은평,불광,,산42-1,담뱃불실화추정,0.01,서울 은평 불광 산42-1
199,2003-04-04,12.0,서울,은평,불광,,산29-4,담배불실화,0.01,서울 은평 불광 산29-4
200,2003-04-16,26.0,서울,은평,불광,,산42-1,담배불실화,0.02,서울 은평 불광 산42-1
201,2006-04-08,15.0,서울,은평,불광,,산10-1,담뱃불실화추정,0.04,서울 은평 불광 산10-1
202,2008-03-21,35.0,서울,은평,불광,,산33-1,입산자실화,0.06,서울 은평 불광 산33-1
203,2012-04-08,221.0,서울,은평,진관동,,산25,등산객실화,0.02,서울 은평 진관동 산25
204,1998-03-24,10.0,서울,은평,응암,,산7-5,입산자실화추정,0.06,서울 은평 응암 산7-5
205,1996-04-23,220.0,서울,은평,진관,,산68-1,입산자실화,0.1,서울 은평 진관 산68-1
206,2001-04-05,22.0,서울,은평,진관,,산68-3,성묘객실화,0.02,서울 은평 진관 산68-3
207,2003-03-11,20.0,서울,은평,진관외,,산129,입산자실화추정,0.01,서울 은평 진관외 산129
208,2003-03-19,20.0,서울,은평,진관내,,산93-1,담배불실화추정,0.01,서울 은평 진관내 산93-1
209,2004-02-18,15.0,서울,은평,진관,,산110,담뱃불실화,0.08,서울 은평 진관 산110
210,2004-04-17,15.0,서울,은평,진관,,산92,담뱃불실화,0.02,서울 은평 진관 산92
211,2006-05-01,50.0,서울,은평,진관,,산103,입산자실화,0.06,서울 은평 진관 산103
212,1996-04-03,45.0,서울,은평,수색,,산1-14,기타,1.5,서울 은평 수색 산1-14
213,2003-03-26,19.0,서울,은평,수색,,산8-4,담배불실화,0.02,서울 은평 수색 산8-4
214,2003-03-31,52.0,서울,은평,수색,,산19,담배불실화,0.1,서울 은평 수색 산19
215,2004-04-08,14.0,서울,은평,수색,,산7-1,어린이불장난추정,0.02,서울 은평 수색 산7-1
216,1989-05-02,53.0,서울,은평,녹번,,산1-2,등산객실화추정,0.3,서울 은평 녹번 산1-2
217,1995-03-20,30.0,서울,은평,녹번,,산1-1,입산자실화추정,0.3,서울 은평 녹번 산1-1
218,1984-12-09,20.0,서울,은평,불광,,산43-1,어린이불장난,0.02,서울 은평 불광 산43-1
219,1984-02-18,20.0,서울,은평,불광,,산42-1,등산객실화,0.1,서울 은평 불광 산42-1
220,1984-03-04,35.0,서울,은평,불광,,산42-1,어린이불장난,0.1,서울 은평 불광 산42-1
221,1982-04-25,100.0,서울,은평,불광,,산42-1,쓰레기소각,0.8,서울 은평 불광 산42-1
222,1995-04-26,215.0,서울,은평,불광,,산42-1,담배불실화추정,0.29,서울 은평 불광 산42-1
223,2001-12-28,24.0,서울,은평,신사,,산80-30,입산자실화추정,0.03,서울 은평 신사 산80-30
224,2002-03-19,18.0,서울,은평,신사,,산98-5,입산자실화추정,0.03,서울 은평 신사 산98-5
225,2004-02-04,8.0,서울,은평,신사,,산98-2,담뱃불실화,0.02,서울 은평 신사 산98-2
226,2004-12-02,10.0,서울,은평,신사,,산55,어린이불장난추정,0.03,서울 은평 신사 산55
227,2009-03-01,101.0,서울,은평,구산,,산37-1,등산객담뱃불실화추정,0.1,서울 은평 구산 산37-1
228,2000-04-01,33.0,서울,은평,갈현,,산12-1,쓰레기소각,0.23,서울 은평 갈현 산12-1
229,2008-04-19,15.0,서울,은평,갈현,,산12-7,쓰레기소각추정,0.01,서울 은평 갈현 산12-7
230,2008-04-21,10.0,서울,은평,갈현,,산11-13,쓰레기소각,0.01,서울 은평 갈현 산11-13
231,2003-04-06,140.0,서울,은평,진관외,,산60-2,담배불실화,0.01,서울 은평 진관외 산60-2
232,1997-04-18,125.0,서울,은평,진관,,산11,입산자실화추정,0.5,서울 은평 진관 산11
233,2008-04-21,19.0,서울,은평,진관,,산9,입산자실화,0.02,서울 은평 진관 산9
234,1982-02-24,28.0,서울,은평,진관,,산69,어린이불장난,0.1,서울 은평 진관 산69
235,1982-04-25,15.0,서울,은평,신사,,산50,어린이불장난,0.1,서울 은평 신사 산50
236,1992-04-04,33.0,서울,은평,구산,,산61,입산자실화추정,0.2,서울 은평 구산 산61
237,2003-11-23,22.0,서울,서대문,홍은2,,산1-181,담배불실화,0.03,서울 서대문 홍은2 산1-181
238,2010-11-16,56.0,서울,서대문,홍제,,산1,등산객실화,0.01,서울 서대문 홍제 산1
239,2001-05-17,9.0,서울,서대문,봉원,,산3-1,담뱃불실화추정,0.01,서울 서대문 봉원 산3-1
240,2001-12-07,3.0,서울,서대문,봉원,,산3-1,방화추정,0.01,서울 서대문 봉원 산3-1
241,2007-04-04,50.0,서울,서대문,홍제,,산41-2,담뱃불실화추정,0.05,서울 서대문 홍제 산41-2
242,1989-05-02,140.0,서울,서대문,홍제,,산1-33,등산객실화추정,0.1,서울 서대문 홍제 산1-33
243,2001-04-17,23.0,서울,서대문,연희,,산2-16,어린이불장난추정,0.02,서울 서대문 연희 산2-16
244,2001-05-15,37.0,서울,서대문,연희,,산2-17,방화추정,0.02,서울 서대문 연희 산2-17
245,2002-02-13,19.0,서울,서대문,연희,,산2-5,담뱃불실화추정,0.5,서울 서대문 연희 산2-5
246,2002-03-13,15.0,서울,서대문,연희,,산66-2,쓰레기소각,0.01,서울 서대문 연희 산66-2
247,2002-04-05,14.0,서울,서대문,연희,,산66-15,담배불실화추정,0.02,서울 서대문 연희 산66-15
