id,damagearea,endday,endmonth,endtime,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
2901,0.45,29,3,5:10:00,2014,기타(직접입력),산1-1,장군,대교, ,세종,29,토요일,3,0:09:00,2014
2902,0.03,30,3,20:50:00,2014,기타(직접입력),37-659,남동,간석, ,인천,30,일요일,3,17:05:00,2014
2903,0.16,1,4,13:10:00,2014,기타(직접입력),산60-1,석포,강화,삼산,인천,1,화요일,4,12:26:00,2014
2904,0.03,1,4,13:22:00,2014,논밭두렁소각,산191,예의,상주,외서,경북,1,화요일,4,12:30:00,2014
2905,0.05,10,3,17:00:00,2014,원인미상,산169-5,노원,상계, ,서울,10,월요일,3,15:20:00,2014
2906,0.2,1,4,14:50:00,2014,기타(직접입력),산203,금대,횡성,서원,강원,1,화요일,4,13:50:00,2014
2907,0.05,1,4,23:00:00,2014,기타(직접입력),산2-2,남동,만수, ,인천,1,화요일,4,20:10:00,2014
2908,0.02,13,10,15:30:00,2015,입산자 실화추정,산61-1,조령,옥천,동이,충북,13,화요일,10,14:20:00,2015
2909,0.02,16,10,17:00:00,2015,담뱃불 실화,산128,사촌,진주,집현,경남,16,금요일,10,13:55:00,2015
2910,0.05,16,10,16:30:00,2015,어린이 불장난 추정,산6-1,봉양,정선,정선,강원,16,금요일,10,15:35:00,2015
2911,0.8,17,10,15:02:00,2015,기타(직접입력),산1-1,삼산,강릉,연곡,강원,17,토요일,10,9:20:00,2015
2912,0.05,17,10,18:07:00,2015,원인미상,산304-2,문혜,철원,갈말,강원,17,토요일,10,15:57:00,2015
2913,0.3,18,10,18:00:00,2015,등산객 실화추정,산35,과천,막계, ,경기,17,토요일,10,20:45:00,2015
2914,0.1,18,10,16:20:00,2015,임도공사현장 작업자 과실,산6-3,신정,성주,수륜,경북,18,일요일,10,14:55:00,2015
2915,1,19,10,16:00:00,2015,무속행위(민가 내 무속행위 예정),산281,대룡,순천,별량,전남,19,월요일,10,13:13:00,2015
2916,0.1,20,10,13:27:00,2015,농산폐기물소각,산150,문촌,봉화,상운,경북,20,화요일,10,10:54:00,2015
2917,0.1,23,10,15:30:00,2015,입산자 실화추정,산31,수안,김해,대동,경남,23,금요일,10,13:30:00,2015
2918,0.1,23,10,20:45:00,2015,원인미상,산128-1,단천,안동,도산,경북,23,금요일,10,18:28:00,2015
2919,0.01,23,10,22:00:00,2015,기타(직접입력),산8-2,광희,울진,금강송,경북,23,금요일,10,19:30:00,2015
2920,0.5,24,10,18:30:00,2015,전기배선단락,산818,대기,강릉,왕산,강원,24,토요일,10,12:02:00,2015
2921,0.1,25,10,13:30:00,2015,입산자 실화추정,산16,자모,옥천,군북,충북,25,일요일,10,11:25:00,2015
2922,0.1,25,10,14:30:00,2015,논밭두렁 소각추정,산94,금곡,김천,감문,경북,25,일요일,10,11:51:00,2015
2923,0.1,25,10,16:30:00,2015,등산객 실화추정,산110,죽곡,순창,풍산,전북,25,일요일,10,14:10:00,2015
2924,0.05,25,10,17:10:00,2015,입산객 실화추정,산19-2,도산,아산,도고,충남,25,일요일,10,14:30:00,2015
2925,0.1,25,10,17:50:00,2015,논밭두렁 소각,산95임,월천,문경,산북,경북,25,일요일,10,16:12:00,2015
2926,0.1,26,10,2:55:00,2015,원인미상,산1임,봉산,평창,진부,강원,25,일요일,10,22:48:00,2015
2927,0.01,26,10,0:19:00,2015,입산자 실화추정,산113-10,사상,주례, ,부산,25,일요일,10,23:53:00,2015
2928,0.15,26,10,15:30:00,2015,쓰레기소각,산3-1,서외,부안,부안,전북,26,월요일,10,12:00:00,2015
2929,0.21,30,10,18:00:00,2015,입산자 실화추정(조사중),산33-1,불모산,창원,성산,경남,30,금요일,10,14:31:00,2015
2930,0.1,31,10,10:00:00,2015,입산자 실화추정(조사중),산192-1,치도,부안,위도,전북,31,토요일,10,0:35:00,2015
2931,0.01,31,10,13:30:00,2015,입산자 실화추정,산119-8,양산,평산, ,경남,31,토요일,10,11:30:00,2015
2932,0.2,31,10,15:40:00,2015,용접불씨 비화,산25,문경,각서, ,경북,31,토요일,10,13:50:00,2015
2933,0.1,1,11,18:05:00,2015,입산자 실화추정,산281,방내,홍천,내,강원,1,일요일,11,16:40:00,2015
2934,0.03,2,11,15:00:00,2015,농산폐기물 소각,산100,방,강릉,연곡,강원,2,월요일,11,13:50:00,2015
2935,0.3,2,11,18:55:00,2015,기타(직접입력),산100,창,양구,남,강원,2,월요일,11,16:35:00,2015
2936,0.01,3,11,12:20:00,2015,기타(직접입력),산26,두천,영주,장수,경북,3,화요일,11,11:33:00,2015
